23;RABATTEMENT SLIMEN KAHIA;10.098591908681556;36.803863870267655;Bus 
23;ABDELMOULA;10.100555151439039;36.795989858905244;Bus 
23;PEPINIERE;10.094417989384965;36.79276287456374;Bus 
23;GARDE NATIONAL AGBA;10.090977117288276;36.790446509447264;Bus 
23;AGBA SUPERIEUR;10.088412925633747;36.78955508556756;Bus 
23;CANAL AGBA;10.085432857013075;36.78847204531257;Bus 
23;BEN MAHMOUD;10.0814901440026;36.78592484278642;Bus 
23;CITE ELWAHA;10.076031848657294;36.78346949824781;Bus 
23;SONEDE AGBA;10.069935187566443;36.78222783313274;Bus 
23;GHDIR ELGOLLAH;10.063299268222181;36.780111370408655;Bus 
23;CITE JABRI;10.058246120679541;36.77651333573025;Bus 
23;CROISEMENT BEN YEDDER;10.054590269792243;36.774536793894;Bus 
23;CITE ENNACR;10.02686923755391;36.766132484549615;Bus 
23;MARCHE MORNAGIAA;10.011264413333265;36.763791249041816;Bus 
23;GUITOUNI;9.980070322490064;36.751873389793595;Bus 
23;CROISEMENT SIDI ALI HATTAB;9.973235785437282;36.74912166140837;Bus 
23;ZONE INDUSTRIELLE;9.945051135728136;36.73624284512041;Bus 
23;AEROPORT BORJ EL AMRI;9.934285014605848;36.73079663967099;Bus 
23;BORJ KHALSI;9.925900429225294;36.72697013529874;Bus 
23;BOUHALLEB;9.915906518763222;36.72291555245994;Bus 
23;CIMETIERE ANGLAIS;9.911035627192177;36.721973895487686;Bus 
23;RELAIS BORJ EL AMRI;9.894448846316664;36.718198552068394;Bus 
23;MOSQUEE BORJ EL AMRI;9.88879474971327;36.716353812231645;Bus 
23;CAFE MEDINA;9.883205026126234;36.71312433590799;Bus 
23;CITE EL INTILAKA ;9.878221213293727;36.718855595505616;Bus 
23E;RABATTEMENT SLIMEN KAHIA;10.098591908681556;36.803863870267655;Bus 
23E;ABDELMOULA;10.100555151439039;36.795989858905244;Bus 
23E;PEPINIERE;10.094417989384965;36.79276287456374;Bus 
23E;GARDE NATIONAL AGBA;10.090977117288276;36.790446509447264;Bus 
23E;AGBA SUPERIEUR;10.088412925633747;36.78955508556756;Bus 
23E;CANAL AGBA;10.085432857013075;36.78847204531257;Bus 
23E;BEN MAHMOUD;10.0814901440026;36.78592484278642;Bus 
23E;CITE ELWAHA;10.076031848657294;36.78346949824781;Bus 
23E;SONEDE AGBA;10.069935187566443;36.78222783313274;Bus 
23E;GHDIR ELGOLLAH;10.063299268222181;36.780111370408655;Bus 
23E;CITE JABRI;10.058246120679541;36.77651333573025;Bus 
23E;CROISEMENT BEN YEDDER;10.054590269792243;36.774536793894;Bus 
23E;BIR ED DROUJ;10.047297209239332;36.77055089925394;Bus 
23E;HUILERIE LOUKIL;10.039384692972817;36.766722079647266;Bus 
23E;LYCEE CHEBI;10.027513236855157;36.76131585617782;Bus 
23E;MOSQUEE MORNAGIAA;10.019466742742225;36.75876775117919;Bus 
23E;MORNAGIAA;10.013517468905775;36.75634334124171;Bus 
23E;20-mars;10.010038778054877;36.75723128333956;Bus 
23E;LYCEE 20 MARS;10.00026172347134;36.75777796860204;Bus 
23E;FIRMA;9.992193907237379;36.754727311996604;Bus 
23E;GUITOUNI;9.980070322490064;36.751873389793595;Bus 
23E;CROISEMENT SIDI ALI HATTAB;9.973235785437282;36.74912166140837;Bus 
23E;ZONE INDUSTRIELLE;9.945051135728136;36.73624284512041;Bus 
23E;AEROPORT BORJ EL AMRI;9.934285014605848;36.73079663967099;Bus 
23E;BORJ KHALSI;9.925900429225294;36.72697013529874;Bus 
23E;BOUHALLEB;9.915906518763222;36.72291555245994;Bus 
23E;CIMETIERE ANGLAIS;9.911035627192177;36.721973895487686;Bus 
23E;RELAIS BORJ EL AMRI;9.894448846316664;36.718198552068394;Bus 
23E;MOSQUEE BORJ EL AMRI;9.88879474971327;36.716353812231645;Bus 
23E;CAFE MEDINA;9.883205026126234;36.71312433590799;Bus 
23E;KIOSQUE AGIL;9.878387779062905;36.71142568859018;Bus 
23E;KM30;9.855562181328423;36.704802756147295;Bus 
23E;MESSAADINE;9.842987984156935;36.700617972342336;Bus 
23E;FURNA;9.83184608790907;36.69342202048768;Bus 
23E;ENTREE BORJ ENNOUR;9.81972531961219;36.68040307759673;Bus 
23E;EPICIER JILANI;9.800442784762708;36.666309644678684;Bus 
23E;ENTREE GRIAAT;9.78444072577986;36.65818956109473;Bus 
23E;GRIAAT;9.78436575833257;36.660804261094334;Bus 
23F;RABATTEMENT SLIMEN KAHIA;10.098591908681556;36.803863870267655;Bus 
23F;ABDELMOULA;10.100555151439039;36.795989858905244;Bus 
23F;PEPINIERE;10.094417989384965;36.79276287456374;Bus 
23F;GARDE NATIONAL AGBA;10.090977117288276;36.790446509447264;Bus 
23F;AGBA SUPERIEUR;10.088412925633747;36.78955508556756;Bus 
23F;CANAL AGBA;10.085432857013075;36.78847204531257;Bus 
23F;BEN MAHMOUD;10.0814901440026;36.78592484278642;Bus 
23F;CITE ELWAHA;10.076031848657294;36.78346949824781;Bus 
23F;SONEDE AGBA;10.069935187566443;36.78222783313274;Bus 
23F;GHDIR ELGOLLAH;10.063299268222181;36.780111370408655;Bus 
23F;CITE JABRI;10.058246120679541;36.77651333573025;Bus 
23F;CROISEMENT BEN YEDDER;10.054590269792243;36.774536793894;Bus 
23F;BIR ED DROUJ;10.047297209239332;36.77055089925394;Bus 
23F;HUILERIE LOUKIL;10.039384692972817;36.766722079647266;Bus 
23F;LYCEE CHEBI;10.027513236855157;36.76131585617782;Bus 
